Dokumen,Acara,Username,Tweet,Kelas
train17,Tukang Ojek Pengkolan,@ErnaNazriel ,@TOP_RCTI abis maghrib emang paling pas nonton TOP yg keren dan lucu . . @OfficialRCTI Emang OK,1
train18,Tukang Ojek Pengkolan,@WSanjaya990 ,@TOP_RCTI gak lucu..lucuan dunia terbalik,-1
train19,Tukang Ojek Pengkolan,@RiauAdventure ,@TOP_RCTI bagus n Merakyat sinetron nya,1
train20,Tukang Ojek Pengkolan,@RudyVhariex ,@TOP_RCTI tukang ojek pengkolan memang TOP,1
train21,Dunia Terbalik,nadaristantia23,@DT_RCTI seneng pisan episode hari ini yg ke 158 full  aceng @sutansimatupang resep uy bersambungnya juga kang aceng #DuniaTerbalikRCTI,1
train22,Dunia Terbalik,nadaristantia23,@DT_RCTI asik uy hari ini bnyk kang acengnya cihuy @sutansimatupang #DuniaTerbalikRCTI,1
train23,Dunia Terbalik,HerryHerdians14,@dt_rcti kak dedeh cantik banget pke mukenaNya kwkwk @marshashari #DuniaTerbalikRcti,1
train24,Dunia Terbalik,alim_adrs,@IslamiatiYuli @DT_RCTI @sutansimatupang @Benk08905656 @birowo @aguskuncoroadi Ngantuk'nya jadi hilang :D #Mantab,1
train25,Dunia Terbalik,IslamiatiYuli,Kalo liat @DT_RCTI suka gak kontrol ketawa ?Ÿ˜Å?Ÿ˜„ apalagi kalo mereka ber 4 udah bersatu @sutansimatupang @Benk08905656 @birowo @aguskuncoroadi,1
train26,Dunia Terbalik,oellffah92,Ketawa ketiwi bareng swami liat #DuniaTerbalikRCTI  @DT_RCTI terbalik @Benk08905656 @sutansimatupang @aguskuncoroadi,1
train27,Dunia Terbalik,MUHAMMADAGUSAR7,@DT_RCTI main nya jd gk tentu... jd males mw lihat kemalaman,-1
train28,Dunia Terbalik,andhy928,@DT_RCTI lama banget sponsornya Mqin filmnya cuma sebentar cuma berapa adegan saja sudah sponsor lagi makin gak seru kebanyakan sponsor bos.,-1
train29,Dunia Terbalik,zzatisalampessy,Baru mulai aja udah di bikin ngakak Gara2 ekspresi Aceng @sutansimatupang ngomong sama Idoy @Benk08905656 .Sampai keselek camilan. @DT_RCTI,1
train30,Dunia Terbalik,DwieOshop,@DT_RCTI Tayang malam jadi ga seru,-1
train31,Dunia Terbalik,rizal_septyan,@MemeComicIndo mendingan nonton @DT_RCTI malah terhibur aku min ?Ÿ˜‚?Ÿ˜Å,1
train32,Dunia Terbalik,dessrainbow,@DT_RCTI min ko dunia terbalik skrg tayangnya jdi makin malem ?? Ga sabar nungguin aceng dkk,-1
train33,Dunia Terbalik,SupperFanzz,#AkuPernah nyesel waktu itu gx nonton Dunia Terbalik @DT_RCTI @DT_mncp Eps. 1. Darisitu gua smpe skarang nonton trs gx prnah ktinggalan Eps.,1
train34,Dunia Terbalik,gadih11,@DT_RCTI.min dnia terblik koq skg tyang a kemalman.balikin lgi dong tayng a jam 19.00 soal sy gak ampe selsai nnton a.cos dah gntuk duluan.,-1
train35,Dunia Terbalik,@lintang696969,@DT_RCTI top pokoknya apa lg lihat si idoy wkwkwkwkw oooooooooooo emang hari Minggu gak boleh jemput anak ya hahah,1
train36,Dunia Terbalik,HerryHerdians14,@DT_RCTI yg ditunggu akhirnya maen jga wkwkwk #DunieTerbalikRcti #DramaSeriesTerbaik,1
train37,Dunia Terbalik,prastiob000,RT @DT_RCTI: Malam ini jangan dilewatkan  #DramaSeriesTerbaik #DuniaTerbalikRCTI OfficialRCTI https://t.co/0pTNjV7yYe,1
train38,Dunia Terbalik,sucimah52863849,@DT_RCTI tapi muka nya masam,-1
train39,Dunia Terbalik,adi_sopandi34,@DT_RCTI sudah siap2 nungguin acara paling seruu!!! Hahaaa #DuniaTerbalikRCTI,1
train40,Dunia Terbalik,DT_RCTI,RT @Sukedi8: @DT_RCTI Oke banget dunia terbalik,1
train41,Anak Langit,bagus_gab,@AnakLangitSCTV_ episode tadi luar biasa ...  ..  Semoga @AnakLangitSCTV_ semoga makin seru makin keren .. https://t.co/R7Y9temZA0,1
train42,Anak Langit,Ranisajjs,@AnakLangitSCTV_ uhhh seruu banget nih sinetronseru seru seruuu..,1
train43,Anak Langit,Nadia93373118,@AnakLangitSCTV_  Pecah malam ini nonton AL.. banjir air mata liat @amarzonnii sama tamte @yulita,1
train44,Anak Langit,LasmiSetyawan,@AnakLangitSCTV_ kox masangin y ga cocok ch msk hito ga d psangin ma raya ajha,-1
train45,Anak Langit,KikiIrfan2,@Yoelitta_Palar @AnakLangitSCTV_ Makin seru tayangan nya nonton sambil istirahat melepas lelah kerja seharian,1
train46,Anak Langit,HidayatunNimah_,Cuma nongol satu scene??Ÿ™„Okelah gapapa sedikit terhibur sm wajahmu bang @hitocaesar #AnakLangit @AnakLangitSCTV_ @SCTV_ @AkbarBhakti,1
train47,Anak Langit,HidayatunNimah_,#AnakLangit lebih awal dan nggak ada jeda iklan. yuhuu @hitocaesar @AkbarBhakti @AnakLangitSCTV_ @SCTV_,1
train48,Anak Langit,azyiie_bllues,@AnakLangitSCTV_  ah pasti jam tayangnya jdi sbntar klo ada sinetron si BoY.. Ga asik,-1
train49,Anak Langit,luizgwondol,@AnakLangitSCTV_ Trlalu baxk yg hayalanxn critax smakin ga jlas smakin pnjang smakin rumit,-1
train50,Anak Langit,Pran__,Mantap jiwa mlm ini @AnakLangitSCTV_ seru jasa lihat AL ngabisin anak antrax @Yoelitta_Palar @Al_79 @Akbarbhakti,1
train51,Anak Langit,Andyparamedis,Tegang rainbow serang antrax seruuu banget ! @AnakLangitSCTV_  @Yoelitta_Palar @anggaptrh @AmmarZoni @DylanCarr8 @al_79 @cemalurhanoff,1
train52,Anak Langit,adhityasandi00,Ceritanya keren hari ini Genk antraks dibabat habis @AnakLangitSCTV_ @SCTV_  #SayaDiSCTV,1
train53,Anak Langit,Gilang_Sat,@SCTV_ @AnakLangitSCTV_ episode td best bgt,1
train54,Anak Langit,Rhieya_YuRa,Sinetron @AnakLangitSCTV_ apaan nih masa kalo geng Anak rainbow dikalahin mulu?? Dihajar trus abis2an tiba bales dendam gak bikin puas,-1
train55,Anak Langit,MFabiyan130,@SCTV_ @AnakLangitSCTV_ seru banget aku suka dehh... I LIKE YOU anak langit..,1
train56,Anak Langit,dillabungatj,Asli mewekx @Yoelitta_Palar #anaklangit @SCTV_ @AnakLangitSCTV_ https://t.co/kwQUtNpMsY,1
train57,Anak Langit,ahmadri24606577,@verawat24528833 @AnakLangitSCTV_ bikin nangis ketika tante lolita sdh ngasih tau ke AL klo AL adlh anak kandungnya.,1
train58,Anak Langit,ANa_Olga08,@iraner_1 @AnakLangitSCTV_ @SCTV_ Sedih yaa..tinggal andra nih yg blm tau anak siapa??,1
train59,Anak Langit,tiv_adrian ,Cerita nya lebih masuk akal dong gan  masa AL kalo di kerubutin masih tetep menang itu orang atau DEWA sih  ga pernah kalah masa aneh,-1
train60,Anak Langit,Cahaya43034620 ,Moment anak langit yg pling q sukai pas scene dimna 3saudra kumpul bareng brcnda breng seru scene pling q sukai @AnakLangitSCTV_ @SCTV_,1
train61,Berkah Cinta,jannatii02,Dari tadi cerita nya erostaniatama itu aja bosan liat nya. cerita itu melulu kirain seru malam ini bikin bosan aja. #BerkahCinta,-1
train62,Berkah Cinta,kippung_eva,@restydestaamel2 bahagia seneng pokonya kalo liat mereka duh jdi ikutikutan senyum senyum sendiri @Ibel234 @Giorgino_Abr #berkahcinta @SCTV_,1
train63,Berkah Cinta,DomackSepti,Malam ini gag ad BC  galau deh gag bs liat tamtan ?Ÿ˜¢ pas bngt mlm kamis gag tayang ny ih #BerkahCinta #donnymichael #irishbella,-1
train64,Berkah Cinta,DomackSepti,Semalam gag bs nntn #BerkahCinta siaran SCTV lg demam kali ya???  Macet ?Ÿ˜¢ https://t.co/tVj8DEIhrJ,-1
train65,Berkah Cinta,pangerank89,Le mineral diminum sama pasangan alay bin ngebosanin... gak laku cuy...!!! #BerkahCinta @BerkahCintaTV_,-1
train66,Berkah Cinta,ista_luthfiyah,Skenarionya ubah dikit dong kalo tama sm eros berantem trsgara tania itu bakal ngebosenin bgt @BerkahCinta_ #BerkahCinta @WinlyWin @SCTV_,-1
train67,Berkah Cinta,fuzi_uzie,@WinlyWin bosennya liat ibel dpsngn sm gio mulukarakter di perannya jg sm aj ga brubah.Dgn adanya Tama BC jd lbh brwarna @SCTV_ #BerkahCinta,-1
train68,Berkah Cinta,hery_2499,#BerkahCinta keren ka venus dan pak andika drpd bosen uplek terus di rumah tama @itssheilaMJ @Tino_Darso,-1
train69,Berkah Cinta,Ekapurnamas281,Sayang besok gak tayang @BerkahCinta_ #BerkahCinta #SayaDiSCTV #PekanbaruPanam https://t.co/4Q0vhzRWUg,-1
train70,Berkah Cinta,anjeli76,#BerkahCinta aduh ni sinet makin kesini isinya kekerasan kelicikan & kenaifan. Kontrak kerja masa ngg dibaca dulu?Ÿ˜? tidur ahh?Ÿ•?,-1
train71,Berkah Cinta,AmbarWa32546519,Ihh  nyebelin banget sih baru mau seru serunya malah iklan  bikin penasaran deh #BerkahCinta,-1
train72,Berkah Cinta,AmbarWa32546519,Yee  eros yang semangat kerjanya  katanya mau bahagia in tania #BerkahCinta,1
train73,Berkah Cinta,AmbarWa32546519,Ni scene nya udah mulai romantis ya #BerkahCinta,1
train74,Berkah Cinta,IsId489,Hahaha lucu bik Sumi sampe jatuh begitu didorong punya rumah #BerkahCinta,1
train75,Berkah Cinta,3anfibi,@SCTV_ Coba kalau si tania #BerkahCinta dibuat cerita sedikit goyah akan cintanya pasti seru,1
train76,Berkah Cinta,kippung_eva,@hery_2499 wah pasti seru ya nobar #BerkahCinta @SCTV_,1
train77,Berkah Cinta,novaliassl,@wulanardyn7 Iya sumpah #berkahcinta dari eps awal sampai sekarang bikin emosi mulu. lama lama males nonton. Tama mâ€? https://t.co/dwSmrD99W3,-1
train78,Berkah Cinta,Siti_AisyahSA,@2Fansbase program favoritku ttp #AnakLangit #AnakSekolahan #BerkahCinta #FTVSCTV ,1
train79,Berkah Cinta,Siti_AisyahSA,@INDOTVTrends mantap #AnakLangit rajai rating #BerkahCinta ttp ke 3 #AnakSekolahan turun jd ke 10,1
train80,Berkah Cinta,boedywp82,Dalam adegan juga ada iklannya Haddeeh @BerkahCintaTV_  #BerkahCinta,-1
