103,urut alur datar mudah tebak,Anak langit,-1
104,kren lah pokok,Anak langit,1
105,keren top,Anak langit,1
106,seru sekali waktu baku pukul,Anak langit,1
107,sangat seru balap,Anak langit,1
108,bosan seru malam bosan,Berkah Cinta,-1
109,bahagia senang senyum senyum,Berkah Cinta,1
110,malam tidak galau tidak banget malam tidak tayang,Berkah Cinta,-1
111,semalam tidak macet,Berkah Cinta,-1
112,alay bosan tidak laku,Berkah Cinta,-1
113,bosan banget,Berkah Cinta,-1
114,seru banget,Berkah Cinta,1
115,top,Berkah Cinta,1
116,tidak tayang,Berkah Cinta,-1
117,keras licik naif tidak tidur,Berkah Cinta,-1
118,sebal banget seru seru iklan penasaran,Berkah Cinta,-1
119,semangat bahagia,Berkah Cinta,1
120,romantis,Berkah Cinta,1
121,lucu lucu,Berkah Cinta,1
122,goyah cinta seru,Berkah Cinta,1
123,seru,Berkah Cinta,1
124,sumpah emosi lama lama malas,Berkah Cinta,-1
125,program favorit,Berkah Cinta,1
126,mantap raja rating turun,Berkah Cinta,1
127,iklan,Berkah Cinta,-1
128,ada gawat darurat sempat iklan,Berkah Cinta,-1
129,greget gemes rintang banget,Berkah Cinta,1
130,tk bobot lama tinggal tua,Berkah Cinta,-1
131,ert favorit,Berkah Cinta,1
132,kacau,Berkah Cinta,-1
133,tunggutunggu baper gemes,Berkah Cinta,1
134,bosan gajelass,Berkah Cinta,-1
135,bodoh tidak,Berkah Cinta,-1
136,seru banget,Berkah Cinta,1
137,seru nehhh ert ni,Berkah Cinta,1
138,pecinta,Berkah Cinta,1
139,oke,Berkah Cinta,1
140,senang sekali malam baper,Berkah Cinta,1
141,seru bkin semua baper at,Berkah Cinta,1
142,film sayang,Berkah Cinta,1
143,malas tidak seru bgin mah nunggu satu,Berkah Cinta,-1
