Dokumen,Acara,Username,Tweet,Kelas
train37,Dunia Terbalik,prastiob000,RT (a)DT_RCTI: Malam ini jangan dilewatkan  #DramaSeriesTerbaik #DuniaTerbalikRCTI OfficialRCTI https://t.co/0pTNjV7yYe,1
train38,Dunia Terbalik,sucimah52863849,(a)DT_RCTI tapi muka nya masam,-1
train39,Dunia Terbalik,adi_sopandi34,(a)DT_RCTI sudah siap2 nungguin acara paling seruu!!! Hahaaa #DuniaTerbalikRCTI,1
train40,Dunia Terbalik,DT_RCTI,RT (a)Sukedi8: (a)DT_RCTI Oke banget dunia terbalik,1
train41,Anak Langit,bagus_gab,(a)AnakLangitSCTV_ episode tadi luar biasa ...  ..  Semoga (a)AnakLangitSCTV_ semoga makin seru makin keren .. https://t.co/R7Y9temZA0,1
train42,Anak Langit,Ranisajjs,(a)AnakLangitSCTV_ uhhh seruu banget nih sinetronseru seru seruuu..,1
train43,Anak Langit,Nadia93373118,(a)AnakLangitSCTV_  Pecah malam ini nonton AL.. banjir air mata liat (a)amarzonnii sama tamte (a)yulita,1
train44,Anak Langit,LasmiSetyawan,(a)AnakLangitSCTV_ kox masangin y ga cocok ch msk hito ga d psangin ma raya ajha,-1
train45,Anak Langit,KikiIrfan2,(a)Yoelitta_Palar (a)AnakLangitSCTV_ Makin seru tayangan nya nonton sambil istirahat melepas lelah kerja seharian,1
train46,Anak Langit,HidayatunNimah_,"Cuma nongol satu scene??Ÿ™„Okelah gapapa sedikit terhibur sm wajahmu bang (a)hitocaesar ?Ÿ˜ç
  #AnakLangit (a)AnakLangitSCTV_ (a)SCTV_ (a)AkbarBhakti",-1
train47,Anak Langit,HidayatunNimah_,"#AnakLangit lebih awal dan nggak ada jeda iklan. yuhuu?Ÿ˜ç?Ÿ˜ç
  (a)hitocaesar (a)AkbarBhakti (a)AnakLangitSCTV_ (a)SCTV_",1
train48,Anak Langit,azyiie_bllues,(a)AnakLangitSCTV_  ah pasti jam tayangnya jdi sbntar klo ada sinetron si BoY.. Ga asik,-1
train49,Anak Langit,luizgwondol,(a)AnakLangitSCTV_ Trlalu baxk yg hayalanxn critax smakin ga jlas smakin pnjang smakin rumit,-1
train50,Anak Langit,Pran__,"Mantap jiwa mlm ini (a)AnakLangitSCTV_ seru jasa
  lihat AL ngabisin anak"" antrax (a)Yoelitta_Palar
  (a)Al_79 (a)Akbarbhakti
  Lihat perincian Â·",1
train51,Anak Langit,Andyparamedis,Tegang rainbow serang antrax seruuu banget ! (a)AnakLangitSCTV_  (a)Yoelitta_Palar (a)anggaptrh (a)AmmarZoni (a)DylanCarr8 (a)al_79 (a)cemalurhanoff,1
train52,Anak Langit,adhityasandi00,Ceritanya keren hari ini Genk antraks dibabat habis (a)AnakLangitSCTV_ (a)SCTV_  #SayaDiSCTV,1
train53,Anak Langit,Gilang_Sat,(a)SCTV_ (a)AnakLangitSCTV_ episode td best bgt,1
train54,Anak Langit,Rhieya_YuRa,Sinetron (a)AnakLangitSCTV_ apaan nih masa kalo geng Anak rainbow dikalahin mulu?? Dihajar trus abis2an tiba bales dendam gak bikin puas,-1
train55,Anak Langit,MFabiyan130,(a)SCTV_ (a)AnakLangitSCTV_ seru banget aku suka dehh... I LIKE YOU anak langit..,1
train56,Anak Langit,dillabungatj,"Asli mewekx (a)Yoelitta_Palar 
  #anaklangit
  (a)SCTV_ (a)AnakLangitSCTV_ https://t.co/kwQUtNpMsY",1
train57,Anak Langit,ahmadri24606577,(a)verawat24528833 (a)AnakLangitSCTV_ bikin nangis ketika tante lolita sdh ngasih tau ke AL klo AL adlh anak kandungnya.,1
train58,Anak Langit,ANa_Olga08,(a)iraner_1 (a)AnakLangitSCTV_ (a)SCTV_ Sedih yaa..tinggal andra nih yg blm tau anak siapa??,1
train59,Anak Langit,tiv_adrian ,Cerita nya lebih masuk akal dong gan  masa AL kalo di kerubutin masih tetep menang itu orang atau DEWA sih  ga pernah kalah masa aneh,-1
train60,Anak Langit,Cahaya43034620 ,Moment anak langit yg pling q sukai pas scene dimna 3saudra kumpul bareng brcnda breng seru scene pling q sukai (a)AnakLangitSCTV_ (a)SCTV_,1
train61,Berkah Cinta,jannatii02,"Dari tadi cerita nya erostaniatama itu aja bosan liat nya. cerita itu melulu kirain seru malam ini bikin bosan aja.
  
  #BerkahCinta",-1
train62,Berkah Cinta,kippung_eva,(a)restydestaamel2 bahagia seneng pokonya kalo liat mereka duh jdi ikutikutan senyum senyum sendiri (a)Ibel234 (a)Giorgino_Abr #berkahcinta (a)SCTV_,1
train63,Berkah Cinta,DomackSepti,"Malam ini gag ad BC  galau deh gag bs liat tamtan ?Ÿ˜¢ pas bngt mlm kamis gag tayang ny ih ?Ÿ˜Ÿ
  #BerkahCinta 
  #donnymichael
  #irishbella",-1
train64,Berkah Cinta,DomackSepti,"Semalam gag bs nntn #BerkahCinta siaran SCTV lg demam kali ya???  Macet"" ?Ÿ˜¢ https://t.co/tVj8DEIhrJ",-1
train65,Berkah Cinta,pangerank89,Le mineral diminum sama pasangan alay bin ngebosanin... gak laku cuy...!!! #BerkahCinta (a)BerkahCintaTV_,-1
train66,Berkah Cinta,ista_luthfiyah,"Skenarionya ubah dikit dong kalo tama sm eros berantem trsgara"" tania itu bakal ngebosenin bgt (a)BerkahCinta_ #BerkahCinta (a)WinlyWin (a)SCTV_",-1
train67,Berkah Cinta,fuzi_uzie,(a)WinlyWin bosennya liat ibel dpsngn sm gio mulukarakter di perannya jg sm aj ga brubah.Dgn adanya Tama BC jd lbh brwarna (a)SCTV_ #BerkahCinta,-1
train68,Berkah Cinta,hery_2499,#BerkahCinta keren ka venus dan pak andika drpd bosen uplek terus di rumah tama (a)itssheilaMJ (a)Tino_Darso,-1
train69,Berkah Cinta,Ekapurnamas281,"Sayang besok gak tayang (a)BerkahCinta_?Ÿ“º?Ÿ˜˜?Ÿ˜”
  #BerkahCinta #SayaDiSCTV  #PekanbaruPanam https://t.co/4Q0vhzRWUg",-1
train70,Berkah Cinta,anjeli76,#BerkahCinta aduh ni sinet makin kesini isinya kekerasankelicikan&amp;kenaifan.Kontrak kerja masa ngg dibaca dulu?Ÿ˜? tidur ahh?Ÿ•?,-1
train71,Berkah Cinta,AmbarWa32546519,Ihh  nyebelin banget sih baru mau seru serunya malah iklan  bikin penasaran deh #BerkahCinta,-1
train72,Berkah Cinta,AmbarWa32546519,Yee  eros yang semangat kerjanya  katanya mau bahagia in tania #BerkahCinta,1
train73,Berkah Cinta,AmbarWa32546519,Ni scene nya udah mulai romantis ya #BerkahCinta,1
train74,Berkah Cinta,IsId489,Hahaha lucu bik Sumi sampe jatuh begitu didorong punya rumah #BerkahCinta,1
train75,Berkah Cinta,3anfibi,(a)SCTV_ Coba kalau si tania #BerkahCinta dibuat cerita sedikit goyah akan cintanya pasti seru,1
train76,Berkah Cinta,kippung_eva,(a)hery_2499 wah pasti seru ya nobar #BerkahCinta (a)SCTV_,1
train77,Berkah Cinta,novaliassl,(a)wulanardyn7 Iya sumpah #berkahcinta dari eps awal sampai sekarang bikin emosi mulu. lama lama males nonton. Tama mâ€? https://t.co/dwSmrD99W3,-1
train78,Berkah Cinta,Siti_AisyahSA,(a)2Fansbase program favoritku ttp #AnakLangit #AnakSekolahan #BerkahCinta #FTVSCTV ?Ÿ‘ç,1
train79,Berkah Cinta,Siti_AisyahSA,"(a)INDOTVTrends mantap #AnakLangit rajai rating ?Ÿ‘è
  #BerkahCinta ttp ke 3 #AnakSekolahan turun jd ke 10",1
train80,Berkah Cinta,boedywp82,Dalam adegan juga ada iklannya Haddeeh?Ÿ˜¬ (a)BerkahCintaTV_  #BerkahCinta,-1
