Dokumen,Acara,Username,Tweet,Kelas
train17,Tukang Ojek Pengkolan,NovaArianty1,@TOP_RCTI lebih suka sm pemain yg dulu aplgi setelah mpok tati meninggal makin gak seru,-1
train18,Tukang Ojek Pengkolan,WSanjaya990ÔøΩ,@TOP_RCTI gak lucu..lucuan dunia terbalik,-1
train19,Tukang Ojek Pengkolan,RiauAdventureÔøΩ,@TOP_RCTI bagus n Merakyat sinetron nya,1
train20,Tukang Ojek Pengkolan,RudyVhariexÔøΩ,@TOP_RCTI tukang ojek pengkolan memang TOP,1
train21,Tukang Ojek Pengkolan,arjunpratama87†,@TOP_RCTI Tolong dong jangan terlalu lama. Acara ojek pengkolan kurang TOP. Gak sabar nunggu Dunia kebalik.,-1
train22,Tukang Ojek Pengkolan,AvrillaZulu,@TOP_RCTI jangan terlalu lama durasinya siaran yg lain jd sebntar n jadi lama nunggunya karna terlalu mlm,-1
train23,Tukang Ojek Pengkolan,asepanak3,Pingin nonton @TOP_RCTI,1
train24,Tukang Ojek Pengkolan,SitiBellaIra1†,@TOP_RCTI tolong dong jam tayang di tambah,1
train25,Dunia Terbalik,YGYNTR,baru juga mulai udh iklan aja kelamaan di iklan sekrang!,-1
train26,Dunia Terbalik,nadaristantia23,@DT_RCTI asik uy hari ini bnyk kang acengnya cihuy @sutansimatupang #DuniaTerbalikRCTI,1
train27,Dunia Terbalik,HerryHerdians14,@dt_rcti kak dedeh cantik banget pke mukenaNya kwkwk @marshashari #DuniaTerbalikRcti,1
train28,Dunia Terbalik,alim_adrs,@IslamiatiYuli @DT_RCTI @sutansimatupang @Benk08905656 @birowo @aguskuncoroadi Ngantuk'nya jadi hilang :D #Mantab,1
train29,Dunia Terbalik,fiouchiinÔøΩ,cucu sm emaknya jgn terlalu lebay atuh nangis muluk deh -_-,-1
train30,Dunia Terbalik,oellffah92,Ketawa ketiwi bareng swami liat #DuniaTerbalikRCTI  @DT_RCTI terbalik @Benk08905656 @sutansimatupang @aguskuncoroadi,1
train31,Dunia Terbalik,MUHAMMADAGUSAR7,@DT_RCTI main nya jd gk tentu... jd males mw lihat kemalaman,-1
train32,Dunia Terbalik,andhy928,@DT_RCTI lama banget sponsornya Mqin filmnya cuma sebentar cuma berapa adegan saja sudah sponsor lagi makin gak seru kebanyakan sponsor bos.,-1
train33,Dunia Terbalik,zzatisalampessy,Baru mulai aja udah di bikin ngakak.GaraÔøΩ? ekspresi Aceng @sutansimatupang ngomong sama Idoy @Benk08905656 .Sampai keselek camilan. @DT_RCTI,1
train34,Dunia Terbalik,DwieOshop,@DT_RCTI Tayang malam jadi ga seru,-1
train35,Dunia Terbalik,rizal_septyan,@MemeComicIndo mendingan nonton @DT_RCTI malah terhibur aku min ?ÔøΩÔøΩÔøΩ?ÔøΩÔøΩ,1
train36,Dunia Terbalik,dessrainbow,@DT_RCTI min ko dunia terbalik skrg tayangnya jdi makin malem ?? Ga sabar nungguin aceng dkk,-1
train37,Dunia Terbalik,syahrihamdany,ngeri iklannya buaannnnyyyyaaakkkkk bet,-1
train38,Dunia Terbalik,gadih11,@DT_RCTI.min dnia terblik koq skg tyang a kemalman.balikin lgi dong tayng a jam 19.00 soal sy gak ampe selsai nnton a.cos dah gntuk duluan.,-1
train39,Dunia Terbalik,lintang696969,@DT_RCTI top pokoknya apa lg lihat si idoy wkwkwkwkw oooooooooooo emang hari Minggu gak boleh jemput anak ya hahah,1
train40,Dunia Terbalik,HerryHerdians14,@DT_RCTI yg ditunggu akhirnya maen jga wkwkwk #DunieTerbalikRcti #DramaSeriesTerbaik,1
train41,Dunia Terbalik,Lapendo64015468,kang mlm ini iklan nya bnyak bngt,-1
train42,Dunia Terbalik,sucimah52863849,@DT_RCTI tapi muka nya masam,-1
train43,Dunia Terbalik,adi_sopandi34,@DT_RCTI sudah siap2 nungguin acara paling seruu!!! Hahaaa #DuniaTerbalikRCTI,1
train44,Dunia Terbalik,DT_RCTI,RT @Sukedi8: @DT_RCTI Oke banget dunia terbalik,1
train45,Dunia Terbalik,arnny_09,Saatnya santai nonton Dunia Terbalik @DT_RCTI di @OfficialRCTI ngga sabar liat keseruan aceng dadang akum sama idoy!,1
train46,Dunia Terbalik,Muhamma38160762,@DT_RCTI sebentar lagi ada film kesukaan dunia terbalik,1
train47,Dunia Terbalik,iifJikaband,@DT_RCTI waduh jam tayang Dunia terbalik kemaleman ni..,-1
train48,Dunia Terbalik,ROBISTA3,@N_Aristantia23 @DT_RCTI rcti memang ok,1
train49,Anak Langit,bagus_gab,@AnakLangitSCTV_ episode tadi luar biasa ...  ..  Semoga @AnakLangitSCTV_ semoga makin seru makin keren .. https://t.co/R7Y9temZA0,1
train50,Anak Langit,Ranisajjs,@AnakLangitSCTV_ uhhh seruu banget nih sinetronseru seru seruuu..,1
train51,Anak Langit,Nadia93373118,@AnakLangitSCTV_  Pecah malam ini nonton AL.. banjir air mata liat @amarzonnii sama tamte @yulita,1
train52,Anak Langit,LasmiSetyawan,@AnakLangitSCTV_ kox masangin y ga cocok ch msk hito ga d psangin ma raya ajha,-1
train53,Anak Langit,KikiIrfan2,@Yoelitta_Palar @AnakLangitSCTV_ Makin seru tayangan nya nonton sambil istirahat melepas lelah kerja seharian,1
train54,Anak Langit,anwar03609351,jangan malam malam pak siaranya,-1
train55,Anak Langit,SamplingAÔøΩ,@AnakLangitSCTV Jgn Suka Ngulang Dong... Sdh Iklannya Panjang. Jadi Ngantuk Nontonya,-1
train56,Anak Langit,azyiie_bllues,@AnakLangitSCTV_  ah pasti jam tayangnya jdi sbntar klo ada sinetron si BoY.. Ga asik,-1
train57,Anak Langit,luizgwondol,@AnakLangitSCTV_ Trlalu baxk yg hayalanxn critax smakin ga jlas smakin pnjang smakin rumit,-1
train58,Anak Langit,Pran__,Mantap jiwa mlm ini @AnakLangitSCTV_ seru jasa lihat AL ngabisin anak antrax @Yoelitta_Palar @Al_79 @Akbarbhakti,1
train59,Anak Langit,Andyparamedis,Tegang rainbow serang antrax seruuu banget ! @AnakLangitSCTV_  @Yoelitta_Palar @anggaptrh @AmmarZoni @DylanCarr8 @al_79 @cemalurhanoff,1
train60,Anak Langit,adhityasandi00,Ceritanya keren hari ini Genk antraks dibabat habis @AnakLangitSCTV_ @SCTV_  #SayaDiSCTV,1
train61,Anak Langit,Gilang_Sat,@SCTV_ @AnakLangitSCTV_ episode td best bgt,1
train62,Anak Langit,Rhieya_YuRa,Sinetron @AnakLangitSCTV_ apaan nih masa kalo geng Anak rainbow dikalahin mulu?? Dihajar trus abis2an tiba bales dendam gak bikin puas,-1
train63,Anak Langit,MFabiyan130,@SCTV_ @AnakLangitSCTV_ seru banget aku suka dehh... I LIKE YOU anak langit..,1
train64,Anak Langit,masda_yh,@AnakLangitSCTV_ @OFC_AnakLangit Males banget liat mama lebay #AnakLangit,-1
train65,Anak Langit,hyi_hyiÔøΩ,@AnakLangitSCTV_ makin gak jelas cerita anak langit krn sbg ibu kandung Al sering memanfaatkan Al utk kepetingannya. Edukasi tidak baik.,-1
train66,Anak Langit,LuCky29072726,@AnakLangitSCTV_ kebanyakan iklan,-1
train67,Anak Langit,tiv_adrianÔøΩ,Cerita nya lebih masuk akal dong gan  masa AL kalo di kerubutin masih tetep menang itu orang atau DEWA sih  ga pernah kalah masa aneh,-1
train68,Anak Langit,Cahaya43034620ÔøΩ,Moment anak langit yg pling q sukai pas scene dimna 3saudra kumpul bareng brcnda breng seru scene pling q sukai @AnakLangitSCTV_ @SCTV_,1
train69,Anak langit,Wulanda18899674,@AnakLangitSCTV_ @sinemart_ph @SCTV_ Uhh Anak langit pemainnya ganteng-ganteng dan cantik - cantik üëç,1
train70,Anak langit,najahaa09,Lebay bangetz akting.a n gw kgk merasa baper sma sekali tuuhh  biasa aj @AkbarBhakti  @AnakLangitSCTV_,-1
train71,Anak langit,iksanreza12†,@AnakLangitSCTV_ anak langit keren2 terutama ammar zoni pemeran al dan immanuel caesar hito pemeran andra,1
train72,Anak langit,yoyok_febriant,Nonton @AnakLangitSCTV_  klopp,1
train73,Berkah Cinta,jannatii02,Dari tadi cerita nya erostaniatama itu aja bosan liat nya. cerita itu melulu kirain seru malam ini bikin bosan aja. #BerkahCinta,-1
train74,Berkah Cinta,kippung_eva,@restydestaamel2 bahagia seneng pokonya kalo liat mereka duh jdi ikutikutan senyum senyum sendiri @Ibel234 @Giorgino_Abr #berkahcinta @SCTV_,1
train75,Berkah Cinta,DomackSepti,Malam ini gag ad BC  galau deh gag bs liat tamtan ?ÔøΩÔøΩ pas bngt mlm kamis gag tayang ny ih #BerkahCinta #donnymichael #irishbella,-1
train76,Berkah Cinta,DomackSepti,Semalam gag bs nntn #BerkahCinta siaran SCTV lg demam kali ya???  Macet ?ÔøΩÔøΩ https://t.co/tVj8DEIhrJ,-1
train77,Berkah Cinta,pangerank89,Le mineral diminum sama pasangan alay bin ngebosanin... gak laku cuy...!!! #BerkahCinta @BerkahCintaTV_,-1
train78,Berkah Cinta,ista_luthfiyah,Skenarionya ubah dikit dong kalo tama sm eros berantem trsgara tania itu bakal ngebosenin bgt @BerkahCinta_ #BerkahCinta @WinlyWin @SCTV_,-1
train79,Berkah Cinta,Naura16758568,serru banget,1
train80,Berkah Cinta,KurnYoen,Top dech #BerkahCinta #BerkahCintaSCTVEps17 @BC_SCTV,1
train81,Berkah Cinta,Ekapurnamas281,Sayang besok gak tayang @BerkahCinta_ #BerkahCinta #SayaDiSCTV #PekanbaruPanam https://t.co/4Q0vhzRWUg,-1
train82,Berkah Cinta,anjeli76,#BerkahCinta aduh ni sinet makin kesini isinya kekerasan kelicikan kenaifan. Kontrak kerja masa ngg dibaca dulu? tidur ahh,-1
train83,Berkah Cinta,AmbarWa32546519,Ihh  nyebelin banget sih baru mau seru serunya malah iklan  bikin penasaran deh #BerkahCinta,-1
train84,Berkah Cinta,AmbarWa32546519,Yee  eros yang semangat kerjanya  katanya mau bahagia in tania #BerkahCinta,1
train85,Berkah Cinta,AmbarWa32546519,Ni scene nya udah mulai romantis ya #BerkahCinta,1
train86,Berkah Cinta,IsId489,Hahaha lucu bik Sumi sampe jatuh begitu didorong punya rumah #BerkahCinta,1
train87,Berkah Cinta,3anfibi,@SCTV_ Coba kalau si tania #BerkahCinta dibuat cerita sedikit goyah akan cintanya pasti seru,1
train88,Berkah Cinta,kippung_eva,@hery_2499 wah pasti seru ya nobar #BerkahCinta @SCTV_,1
train89,Berkah Cinta,novaliassl,@wulanardyn7 Iya sumpah #berkahcinta dari eps awal sampai sekarang bikin emosi mulu. lama lama males nonton. Tama mÔøΩÔøΩ? https://t.co/dwSmrD99W3,-1
train90,Berkah Cinta,Siti_AisyahSA,@2Fansbase program favoritku ttp #AnakLangit #AnakSekolahan #BerkahCinta #FTVSCTV ,1
train91,Berkah Cinta,Siti_AisyahSA,@INDOTVTrends mantap #AnakLangit rajai rating #BerkahCinta ttp ke 3 #AnakSekolahan turun jd ke 10,1
train92,Berkah Cinta,boedywp82,Dalam adegan juga ada iklannya Haddeeh @BerkahCintaTV_  #BerkahCinta,-1
train93,Berkah Cinta,IsId489,Dlm keadaan gawat darurat masih sempat iklan #BerkahCinta,-1
train94,Berkah Cinta,kippung_eva,Makin greget sama #BerkahCinta makin gemes @SCTV_ eros tania banyak rintangan banget si @ibell234 @Ibel234 @Giorgino_Abr,1
train95,Berkah Cinta,IsId489,Sinetron tk berbobot masak rmh sdh lama ditinggal koq tau Eros klo Tania ada dirmh org tuany dulu #BerkahCinta,-1
train96,Berkah Cinta,Giorgino_Arka,@SiwiUtami17 #BerkahCinta Ertan lovers,1
