Dokumen,Acara,Username,Tweet,Kelas
test24,Berkah Cinta,Giorgino_Arka,@SiwiUtami17 #BerkahCinta Ertan lovers,1
test25,Berkah Cinta,wulanardyn7,#BerkahCinta aduhhh mulai ngacoh yaaaa,-1
test26,Berkah Cinta,kippung_eva,Sinet yang ditunggutunggu udah mulai #BerkahCinta baper gemes @ibell234 @Ibel234 @Giorgino_Abr @DonnyMichaelâ€,1
test27,Berkah Cinta,wulanardyn7,#BerkahCinta najis gajelass HHH LUCU!@WinlyWin,-1
test28,Berkah Cinta,NaniSugiarni ,@WinlyWin goblokkkk bikin sinetron koq gk jelas @BerkahCint_SCTV,-1
test29,Berkah Cinta,Naura16758565,serru banget,1
test31,Berkah Cinta,GinoDesi ,Pecinta BC SCTV @BerkahcintaLand @berkahcinta_tv @BC_SCTV @Ibel234 @Giorgino_Abr,1
test35,Berkah Cinta,hani180596,@BC_SCTV film kesayangan,1
test36,Berkah Cinta,AfzRamadhan12 ,@BC_SCTV jadi males nonton nya gk seru kalo udh bgini mah nunggu aja deh kalo tania @irishbella234 sama eros @Giorgino_Arka udah menyatu,-1
test37,Berkah Cinta,ErniIndrawati_,Kok gue kesel ya sama yg nmanya sarah itu munafik bnget @BC_SCTV #BerkahCinta,-1
test38,Berkah Cinta,layyajah ,Njs ngelihat muka tante sarah itu! Bikin males nonton gak layak ada di sinetron ini!ada perempuan itu~ @BerkahCinta_ @BC_SCTV #BerkahCinta,-1
test39,Berkah Cinta,heris_40,@BC_SCTV sinetron kejam banget lebih kejam dari anugrah cinta wanita pun mau di jatuhkan di kali.cc@KPI_Pusat,-1
test40,Berkah Cinta,Aqmals,Kesel eh liat venus makan ati #BerkahCinta,-1
test41,Dunia Terbalik,arnny_09,Saatnya santai nonton Dunia Terbalik @DT_RCTI di @OfficialRCTI ngga sabar liat keseruan aceng dadang akum sama idoy!,1
test42,Dunia Terbalik,Muhamma38160762,@DT_RCTI sebentar lagi ada film kesukaan dunia terbalik,1
test45,Dunia Terbalik,IkaGone,Serius bgt om @sutansimatupang dngerin cerita mak suha nya wkwk @DT_RCTI #DuniaTerbalik,1
test49,Dunia Terbalik,Raka97gmailCom,@DT_RCTI @syahnazs93 @anjanidinavdw lebih kocak semua moga sukses ya,1
test50,Dunia Terbalik,selamatcitra,Dari pd mkn hati lbih baik minum kopi smbil nonton @DT_RCTI https://t.co/kTBoKNnYI8,1
test51,Dunia Terbalik,prastiob000,@2Fansbase @OfficialRCTI sinetron yg kocak pas bngt kalo LG santai nntn @DT_RCTI pasti ketawa ga bosan,1
test52,Dunia Terbalik,sitibadriyati2,@DT_RCTI aceng si pejuang cinta mantep,1
test53,Dunia Terbalik,punjabi_jihans,@DT_RCTI aduhh lucu binggo Ketawa mulu dari tadi hahhahaha,1
test54,Dunia Terbalik,asep_obi,@DT_RCTI makin mantap dan menghibur.I LOVE YOU Bu Guru Yola. @anjanidinavdw #DuniaTerbalikRCTI,1
test55,Dunia Terbalik,andhy928,@DT_RCTI lama banget sponsornya Mqin filmnya cuma sebentar cuma berapa adegan saja sudah sponsor lagi makin gak seru kebanyakan sponsor bos.,-1
test56,Dunia Terbalik,selamatcitra,@Enie_Soebrana Enakkan lagi nonton @LayarDrama_RCTI @DT_RCTI. Lebih seru,1
test57,Dunia Terbalik,adi_sopandi34,@DT_RCTI sudah siap2 nungguin acara paling seruu!!! Hahaaa #DuniaTerbalikRCTI,1
test58,Dunia Terbalik,faisalbudipras3,@DT_RCTI @DikST04 Semakin Lucu Dan menarik cerita drama nya sih aceng sma edoy sih akum sma Dadang sih dikatain sih aceng,1
test59,Dunia Terbalik,faisalbudipras3,@DT_RCTI @DikST04 Seru enak Nonton dunia terbalik hanya di rcti Oke paling no.1 indosia para tokoh nya lebih seru https://t.co/hn1Zdsh8rl,1
test60,Dunia Terbalik,yanshopyan,@DT_RCTI Jengkel dri tdi sma @OfficialRCTI jam tyang #DuniaTerbalikEPS137 d pindah2 aja mending sinetron tukang ojeg Delete aja lah,-1
test66,Anak langit,Anjas11y,@AnakLangitSCTV_ mantap anak langit,1
test67,Anak langit,Tunggala1,@AnakLangitSCTV_ @JhonSjbt @DailymotionUSA Suka nonton,1
test68,Anak langit,verawat24528833,@AnakLangitSCTV_ anak langit makin keren. Semangat terus buat cumi n udang ðŸ˜ðŸ˜,1
test69,Anak langit,NovaPrakoso4,aku gak suka sinetron alay,-1
test70,Anak langit,attin_citra,Anak langit keren banget Apa lagi Al dan vika nya,1
test71,Anak langit,Sulisti95026626 ,udah males nontonnya si emon jarang nongol kebanyakan si andra ma tari bosennn.. Jauh banget sama AJ,-1
test72,Anak langit,DwiSetiyawan14 ,menurutku alur ceritanya terlalu datar biasa saja dan mudah di tebak.,-1
test73,Anak langit,zulpan_siregar,KREN LAH POKOk nya,1
test74,Anak langit,IrulLangit,makin hari makin keren top dah pokeknye semoge tim RAIMBO pemenangnye,1
test75,Anak langit,gabrieljoanseg1 ,@AnakLangitSCTV_ SERU SEKALI FILMNYA PADA WAKTU BAKU PUKUL ANTAR GENG.........,1
test76,Anak langit,gabrieljoanseg1 ,ITU SANGAT SERU SAAT BALAPAN........,1
test77,Anak langit,DokterC66421551 ,@AnakLangitSCTV_ cerita cinta nya seru,1
test78,Anak langit,wwwpeleng_com,jangan terlalu banyak donk iklanya bikin bete aja,-1
test79,Anak langit,lobin_hot ,@AnakLangitSCTV_ mantap kata anak saya,1
test80,Anak langit,wandi_naziha ,tolong jgn terlalu banyak hayalan jd ga seru nonton nya..,-1
